keyword,feature,proposed_tags,volume,global_volume,difficulty,traffic_potential,parent_topic,nx_ranks,source,why
what is a cache miss,cache,ci-caching|unbranded,700,77000,3,300,what is a cache miss,43,keywords-explorer-overview,nx.dev already pos 43 on troubleshoot-cache-misses
cache hit rate,cache,ci-caching|unbranded,150,500,4,150,cache hit ratio,no,keywords-explorer-matching-terms,Nx Cloud reports this metric directly
github actions cache,cache,ci-caching|unbranded,500,1700,22,1100,actions/cache,no,keywords-explorer-matching-terms,largest cache-demand term; Depot ranks off a blog post
docker build cache,cache,ci-caching|unbranded,150,1100,5,200,docker build cache,no,keywords-explorer-overview,biggest uncontested caching gap in ci-competitors
docker layer caching,cache,ci-caching|unbranded,100,300,10,200,docker build cache,no,keywords-explorer-overview,Blacksmith/Depot own it
gradle build cache,cache,ci-caching|unbranded,80,200,6,200,gradle build cache,no,keywords-explorer-matching-terms,Nx has a Gradle plugin and no page
gradle remote build cache,cache,ci-caching|unbranded,90,150,3,200,gradle build cache,no,keywords-explorer-matching-terms,Depot ranks pos 3 off a blog post
gradle remote cache,cache,ci-caching|unbranded,80,150,4,200,gradle build cache,no,keywords-explorer-overview,"same slot, second phrasing"
maven build cache,cache,ci-caching|unbranded,100,150,2,70,maven cache,no,keywords-explorer-matching-terms,Nx has a Maven plugin
bazel remote cache,cache,ci-caching|unbranded,80,200,7,70,bazel remote cache,no,keywords-explorer-overview,migration bridge from Bazel
bazel cache,cache,ci-caching|unbranded,60,100,13,70,bazel remote cache,no,keywords-explorer-overview,migration bridge from Bazel
gitlab ci cache,cache,ci-caching|unbranded,70,500,0,70,gitlab cache,no,keywords-explorer-matching-terms,"KD 0, tool-anchored"
remote build cache,cache,ci-caching|unbranded,10,10,no_data,no_data,no_data,no_data,keywords-explorer-overview,generic category term Nx should own
shared build cache,cache,ci-caching|unbranded,no_data,no_data,no_data,no_data,no_data,no_data,synthetic,"generic category term; synthetic, no Ahrefs record"
monorepo build cache,cache,ci-caching|unbranded,no_data,no_data,no_data,no_data,no_data,no_data,synthetic,the Nx-shaped form of the category term
flaky test,flaky,ci-flaky|unbranded,400,no_data,4,no_data,no_data,no,site-explorer-organic-keywords,singular is KD 4 vs KD 6 for the tracked plural
what is a flaky test,flaky,ci-flaky|unbranded,100,no_data,5,no_data,no_data,no,site-explorer-organic-keywords,definitional entry point
what are flaky tests,flaky,ci-flaky|unbranded,100,250,3,350,flaky tests meaning,no,keywords-explorer-matching-terms,definitional entry point
how to fix flaky tests,flaky,ci-flaky|unbranded,70,80,2,no_data,no_data,no,keywords-explorer-matching-terms,solution intent
flaky tests meaning,flaky,ci-flaky|unbranded,150,500,6,500,flaky test,no,keywords-explorer-matching-terms,parent topic of the tracked head term
flaky test management,flaky,ci-flaky|unbranded,200,250,no_data,no_data,no_data,no_data,keywords-explorer-overview,commercial framing above the tracked detection term
flaky test best practices,flaky,ci-flaky|unbranded,90,150,no_data,no_data,no_data,no_data,keywords-explorer-matching-terms,guide intent
flaky test detection tool,flaky,ci-flaky|unbranded,10,10,no_data,no_data,no_data,no_data,keywords-explorer-overview,product intent
flaky test tools,flaky,ci-flaky|unbranded,20,30,no_data,no_data,no_data,no_data,keywords-explorer-matching-terms,"product intent, listicle"
playwright flaky tests,flaky,ci-flaky|unbranded,80,250,2,40,playwright flaky tests,no,keywords-explorer-matching-terms,Nx owns the Playwright plugin - JACK: KB article
cypress flaky tests,flaky,ci-flaky|unbranded,40,no_data,0,no_data,no_data,no,site-explorer-organic-keywords,Nx owns the Cypress plugin - JACK: KB article
circleci flaky tests,flaky,ci-flaky|unbranded,80,90,3,30,circleci flaky tests,no,keywords-explorer-matching-terms,"tool-anchored, KD 3"
test impact analysis,affected,nx-cloud-features|unbranded,150,300,3,30,test impact analysis,no,keywords-explorer-overview,JACK: target this - it is what nx affected does
test impact analysis ci,affected,nx-cloud-features|unbranded,80,80,no_data,no_data,no_data,no_data,keywords-explorer-matching-terms,CI-qualified form
test impact analysis tools,affected,nx-cloud-features|unbranded,60,90,no_data,no_data,no_data,no_data,keywords-explorer-matching-terms,product intent
