prompt,intent_group,models,verdict,rationale
"Top monorepo tools for 2026.",tool-selection-listicle,chatgpt,keep,"Canonical unbranded listicle head. The prompt Nx most needs to win."
"Best monorepo tool for large teams",tool-selection-teamsize,chatgpt,keep,"Unbranded, enterprise-side framing. Nx's strongest fit - defend."
"Best monorepo tool for small teams",tool-selection-teamsize,chatgpt,keep,"Unbranded, small-side framing. Known weak spot (models default to Turborepo)."
"Top tools for monorepo continuous integration.",ci-tool-selection,chatgpt,keep,"Only CI-framed prompt in the set. Maps to the Nx Cloud revenue surface."
"I need a monorepo CI/CD solution that integrates with GitHub and provides build caching for our Node.js and Go services. What are the top options available?",problem-first-stack,chatgpt,keep,"Only problem-first, stack-anchored prompt. Highest-fidelity buyer simulation in the set."
"Which has better remote caching and CI task distribution out of the box, Turborepo or Nx?",capability-comparison,chatgpt,keep,"Canonical for the caching/DTE capability axis - the axis Nx actually wins."
"I want the monorepo tool with the least configuration and lowest learning curve. Turborepo or Nx?",config-learning-curve,chatgpt,keep,"Canonical for the config/complexity axis - the axis Nx loses. Keep as the counter-metric."
"Do I have to rewrite my build setup to adopt Nx, or can I add it incrementally like Turborepo?",incremental-adoption,chatgpt,keep,"Canonical adoption-friction prompt. Directly answerable by nx.dev content."
"Does Nx lock you into its plugins and generators, or can you run it on plain package.json scripts?",lock-in,chatgpt,keep-sentiment,"Plan exemption 1. Metric is how the answer frames Nx over time, not volume. Tag sentiment."
"Should I start with Turborepo now and switch to Nx later if we outgrow it?",sequencing,chatgpt,keep-sentiment,"Plan exemption 1. Tracks whether models still recommend Turborepo-first. Tag sentiment."
"Is Nx overkill for a small project, making Turborepo the lighter choice?",overkill,chatgpt,keep-sentiment,"Plan exemption 1. The single most damaging framing in the set - track it. Tag sentiment."
"We're a 4-person team with about 10 packages. Should we use Turborepo or Nx?",tool-selection-teamsize,chatgpt,merge-into:Is Nx overkill for a small project...,"Same intent as the overkill prompt plus the small-team prompt. Branded 4-person framing adds no distinct signal."
"Best monorepo tool for a small startup that wants to move fast without heavy tooling?",tool-selection-teamsize,chatgpt,merge-into:Best monorepo tool for small teams,"Duplicate of the small-teams prompt with editorializing baked into the question."
