Timestamp,My workload is sustainable ,I have autonomy in how I approach my work ,My contributions are recognized,I can see how my work benefits users or the business,I am learning and growing in my role ,I know what's expected of me,My manager has enough time and context to support me effectively,What's one thing that would improve your day-to-day experience?,Other comments
2/2/2026 12:40:46,2,4,2,5,5,4,2,better people-management skills for team leads / proper managers would help me feel more seen and appreciated,
2/2/2026 13:16:05,4,5,5,5,5,3,3,"Clear communication channels between sales + Eng + marketing + CS

No back channel work assignment, no “high priority” declaration without technical insight specifically around customer issues",
2/2/2026 13:26:26,4,4,4,4,4,3,4,"Understanding longer-term goals for the team, since we don't fit into a product team it would be nice to have yearly project goals. Or if our team is too interrupt driven to have that, at least let's have aspirational goals.",
2/2/2026 13:32:27,3,3,1,3,4,4,3,"Moving away from over-reliance on automated PR reviews and asking for token ""stamps"", and going back to more thorough peer code reviews for all or most changes. ",
2/2/2026 14:38:26,2,3,1,4,4,4,3,Clearer understanding of priorities,
2/2/2026 15:29:23,4,5,4,4,4,4,4,"A bit more structure, time spent forming daily habits",
2/2/2026 16:55:26,5,5,3,3,2,3,2,Nothing for now.,
2/3/2026 8:43:22,4,5,4,5,5,4,4,"I'm unsure, I'd say my day-to-day experience is not bad. I have autonomy to work, fairly clear goals, though some times not so clear competing high-priorities. I guess that and more predictable priorities in terms of our release plan and/or roadmap (internal one for next release) could help even more to understand priorities better. ",
2/4/2026 6:12:56,2,4,5,3,4,5,5,"the chance for more focused work, with less urgent interruptions ","I've never had so much support like I do here at any other place I've worked at - as long as I make sure I communicate any concerns, the whole leadership and management team has always been incredible at supporting me which is by far the biggest contributor to my happiness here. I really appreciate it. "
2/9/2026 11:39:20,5,5,5,5,5,5,5,im actually quite happy with my day-to-day experience. I dont feel like i need to change or improve anything. I actually look forward to work on a Monday morning :D ,
2/9/2026 19:43:43,2,4,5,5,5,5,5,I'll just be a lot happier in general when the onboarding numbers improve.,"I don't have too many gripes, generally I think the team and our responsibilities are well-organized and designed."
