category,keyword,volume,global_volume,difficulty,parent_topic,intents,source_report,seed_used
portability,claude code vs cursor,6300,20000,12,claude vs cursor,"informational,commercial,branded",matching-terms,cursor vs claude code
portability,cursor vs claude code,4800,16000,15,cursor vs claude code,"informational,commercial,branded",matching-terms,cursor vs claude code
portability,agents.md,900,4100,39,agents.md,"informational,branded",matching-terms,agents.md
portability,openai codex agents.md official docs,800,2000,no_data,no_data,no_data,matching-terms,agents.md
portability,cursorrules,500,1500,32,cursorrules,"informational,branded",matching-terms,cursorrules
portability,codex agents.md,500,3300,no_data,no_data,no_data,matching-terms,agents.md
portability,openai codex agents.md official documentation,500,1800,no_data,no_data,no_data,matching-terms,agents.md
portability,codex cli agents.md,500,700,no_data,no_data,no_data,matching-terms,agents.md
portability,claude code agents.md,450,1700,no_data,no_data,no_data,matching-terms,agents.md
portability,openai codex cli agents.md,400,500,no_data,no_data,no_data,matching-terms,agents.md
portability,openai codex agents.md documentation,400,1000,no_data,no_data,no_data,matching-terms,agents.md
portability,agents.md file,400,1200,no_data,no_data,no_data,matching-terms,agents.md
portability,agents.md codex cli,350,400,no_data,no_data,no_data,matching-terms,agents.md
portability,openai codex cli agents.md documentation,350,800,no_data,no_data,no_data,matching-terms,agents.md
portability,how to use claude code in cursor,350,900,no_data,no_data,no_data,matching-terms,cursor vs claude code
portability,cursor ai vs claude code,300,900,no_data,no_data,no_data,matching-terms,cursor vs claude code
portability,claude agents.md,300,1100,no_data,no_data,no_data,matching-terms,agents.md
portability,agents.md codex,300,900,no_data,no_data,no_data,matching-terms,agents.md
portability,openai codex agents.md instructions official docs,300,1100,no_data,no_data,no_data,matching-terms,agents.md
portability,openai codex agents.md,300,600,no_data,no_data,no_data,matching-terms,agents.md
portability,openai codex agents.md guide,300,1000,no_data,no_data,no_data,matching-terms,agents.md
portability,openai codex agents.md instructions official,300,1100,no_data,no_data,no_data,matching-terms,agents.md
portability,openai codex agents.md repository instructions,300,700,no_data,no_data,no_data,matching-terms,agents.md
portability,agents.md vs claude.md,250,700,no_data,no_data,no_data,matching-terms,agents.md
portability,claude.md vs agents.md,250,700,no_data,no_data,no_data,matching-terms,agents.md
portability,openai codex agents.md instructions repository,250,700,no_data,no_data,no_data,matching-terms,agents.md
portability,cursor vs claude code comparison 2026,250,500,no_data,no_data,no_data,matching-terms,cursor vs claude code
portability,openai codex cli agents.md official documentation,250,1000,no_data,no_data,no_data,matching-terms,agents.md
portability,cursor .cursorrules file documentation,250,300,no_data,no_data,no_data,matching-terms,cursorrules
portability,openai codex agents.md docs,250,400,no_data,no_data,no_data,matching-terms,agents.md
