Old URL,Expected New URL,Actual Behavior,Status,Category
"/getting-started/intro","/docs/getting-started/intro","/docs/getting-started/intro","Working","✅ Working"
"/nx-api/nx/documents/affected%23skip-nx-cache","/docs/nx-api/nx/documents/affected%23skip-nx-cache","404 Error","Broken","❌ 404"
"/extending-nx","/docs/extending-nx","Stays at /extending-nx","No Redirect","🔴 No Redirect"
"/plugin-registry","/docs/plugin-registry","Stays at /plugin-registry","No Redirect","🔴 No Redirect"
"/features","/docs/features","Stays at /features","No Redirect","🔴 No Redirect"
"/features/run-tasks","/docs/features/run-tasks","Stays at /features/run-tasks","No Redirect","🔴 No Redirect"
"/features/cache-task-results","/docs/features/cache-task-results","Stays at /features/cache-task-results","No Redirect","🔴 No Redirect"
"/features/enhance-AI","/docs/features/enhance-AI","Stays at /features/enhance-AI","No Redirect","🔴 No Redirect"
"/features/explore-graph","/docs/features/explore-graph","Stays at /features/explore-graph","No Redirect","🔴 No Redirect"
"/features/generate-code","/docs/features/generate-code","Stays at /features/generate-code","No Redirect","🔴 No Redirect"
"/features/maintain-ts-monorepos","/docs/features/maintain-ts-monorepos","Stays at /features/maintain-ts-monorepos","No Redirect","🔴 No Redirect"
"/features/automate-updating-dependencies","/docs/features/automate-updating-dependencies","Stays at /features/automate-updating-dependencies","No Redirect","🔴 No Redirect"
"/features/enforce-module-boundaries","/docs/features/enforce-module-boundaries","Stays at /features/enforce-module-boundaries","No Redirect","🔴 No Redirect"
"/features/manage-releases","/docs/features/manage-releases","Stays at /features/manage-releases","No Redirect","🔴 No Redirect"
"/features/ci-features","/docs/features/ci-features","Stays at /features/ci-features","No Redirect","🔴 No Redirect"
"/recipes","/docs/recipes","Stays at /recipes","No Redirect","🔴 No Redirect"
"/recipes/installation","/docs/recipes/installation","Stays at /recipes/installation","No Redirect","🔴 No Redirect"
"/recipes/installation/install-non-javascript","/docs/recipes/installation/install-non-javascript","Stays at /recipes/installation/install-non-javascript","No Redirect","🔴 No Redirect"
"/recipes/installation/update-global-installation","/docs/recipes/installation/update-global-installation","Stays at /recipes/installation/update-global-installation","No Redirect","🔴 No Redirect"
"/recipes/running-tasks","/docs/recipes/running-tasks","Stays at /recipes/running-tasks","No Redirect","🔴 No Redirect"
"/recipes/running-tasks/configure-inputs","/docs/recipes/running-tasks/configure-inputs","Stays at /recipes/running-tasks/configure-inputs","No Redirect","🔴 No Redirect"
"/recipes/running-tasks/configure-outputs","/docs/recipes/running-tasks/configure-outputs","Stays at /recipes/running-tasks/configure-outputs","No Redirect","🔴 No Redirect"
"/recipes/running-tasks/defining-task-pipeline","/docs/recipes/running-tasks/defining-task-pipeline","Stays at /recipes/running-tasks/defining-task-pipeline","No Redirect","🔴 No Redirect"
"/recipes/running-tasks/terminal-ui","/docs/recipes/running-tasks/terminal-ui","Stays at /recipes/running-tasks/terminal-ui","No Redirect","🔴 No Redirect"
"/recipes/running-tasks/run-commands-executor","/docs/recipes/running-tasks/run-commands-executor","Stays at /recipes/running-tasks/run-commands-executor","No Redirect","🔴 No Redirect"
"/recipes/running-tasks/pass-args-to-commands","/docs/recipes/running-tasks/pass-args-to-commands","Stays at /recipes/running-tasks/pass-args-to-commands","No Redirect","🔴 No Redirect"
"/recipes/running-tasks/run-tasks-in-parallel","/docs/recipes/running-tasks/run-tasks-in-parallel","Stays at /recipes/running-tasks/run-tasks-in-parallel","No Redirect","🔴 No Redirect"
"/recipes/running-tasks/root-level-scripts","/docs/recipes/running-tasks/root-level-scripts","Stays at /recipes/running-tasks/root-level-scripts","No Redirect","🔴 No Redirect"
"/recipes/running-tasks/workspace-watching","/docs/recipes/running-tasks/workspace-watching","Stays at /recipes/running-tasks/workspace-watching","No Redirect","🔴 No Redirect"
