category,keyword,volume,global_volume,difficulty,parent_topic,intents,source_report,seed_used
evaluation,llm as a judge,1800,7900,48,llm as a judge,informational,matching-terms,agent evals|llm evaluation|llm as a judge|agent reliability|ai regression testing
evaluation,llm evaluation,1100,3800,23,llm evaluation,informational;commercial,matching-terms,agent evals|llm evaluation|llm as a judge|agent reliability|ai regression testing
evaluation,llm evaluation metrics,600,1400,22,llm evaluation metrics,informational,matching-terms,agent evals|llm evaluation|llm as a judge|agent reliability|ai regression testing
evaluation,llm evaluation updates,600,600,no_data,no_data,no_data,matching-terms,agent evals|llm evaluation|llm as a judge|agent reliability|ai regression testing
evaluation,deepeval llm evaluation framework,500,600,no_data,no_data,no_data,matching-terms,agent evals|llm evaluation|llm as a judge|agent reliability|ai regression testing
evaluation,llm-as-a-judge,400,1900,51,llm as judge,informational,matching-terms,agent evals|llm evaluation|llm as a judge|agent reliability|ai regression testing
evaluation,llm evaluation news,400,400,11,llm evaluation metrics,informational,matching-terms,agent evals|llm evaluation|llm as a judge|agent reliability|ai regression testing
evaluation,llm evaluation framework,400,900,16,deepeval,informational,matching-terms,agent evals|llm evaluation|llm as a judge|agent reliability|ai regression testing
evaluation,llm evaluation benchmark news,400,400,no_data,no_data,no_data,matching-terms,agent evals|llm evaluation|llm as a judge|agent reliability|ai regression testing
evaluation,what is llm as a judge,350,450,41,llm as a judge,no_data,matching-terms,agent evals|llm evaluation|llm as a judge|agent reliability|ai regression testing
evaluation,llm evaluation news today,300,300,no_data,no_data,no_data,matching-terms,agent evals|llm evaluation|llm as a judge|agent reliability|ai regression testing
evaluation,trulens llm evaluation framework,250,250,no_data,no_data,no_data,matching-terms,agent evals|llm evaluation|llm as a judge|agent reliability|ai regression testing
evaluation,judging llm-as-a-judge with mt-bench and chatbot arena,250,250,21,judging llm-as-a-judge with mt-bench and chatbot arena,informational;branded,matching-terms,agent evals|llm evaluation|llm as a judge|agent reliability|ai regression testing
evaluation,llm evaluation tools,200,350,12,llm evaluation,no_data,matching-terms,agent evals|llm evaluation|llm as a judge|agent reliability|ai regression testing
evaluation,agent evals,200,350,no_data,no_data,no_data,matching-terms,agent evals|llm evaluation|llm as a judge|agent reliability|ai regression testing
evaluation,llm evaluation benchmarks,200,300,17,llm evaluation benchmarks,informational,matching-terms,agent evals|llm evaluation|llm as a judge|agent reliability|ai regression testing
evaluation,llm evaluation research news,200,200,no_data,no_data,no_data,matching-terms,agent evals|llm evaluation|llm as a judge|agent reliability|ai regression testing
evaluation,ai agent evals,200,300,no_data,no_data,no_data,matching-terms,agent evals|llm evaluation|llm as a judge|agent reliability|ai regression testing
evaluation,confirmation hacking definition llm evaluation,200,200,no_data,no_data,no_data,matching-terms,agent evals|llm evaluation|llm as a judge|agent reliability|ai regression testing
evaluation,llm agent evaluation,200,400,no_data,no_data,no_data,matching-terms,agent evals|llm evaluation|llm as a judge|agent reliability|ai regression testing
evaluation,deepeval llm evaluation,200,300,no_data,no_data,no_data,matching-terms,agent evals|llm evaluation|llm as a judge|agent reliability|ai regression testing
evaluation,ai regression testing,200,300,2,no_data,no_data,matching-terms,agent evals|llm evaluation|llm as a judge|agent reliability|ai regression testing
evaluation,trulens llm evaluation open source,150,150,no_data,no_data,no_data,matching-terms,agent evals|llm evaluation|llm as a judge|agent reliability|ai regression testing
evaluation,evaluation llm news,150,150,no_data,no_data,no_data,matching-terms,agent evals|llm evaluation|llm as a judge|agent reliability|ai regression testing
evaluation,llm evaluation frameworks benchmarks,150,350,no_data,no_data,no_data,matching-terms,agent evals|llm evaluation|llm as a judge|agent reliability|ai regression testing
evaluation,trulens llm evaluation documentation,150,150,no_data,no_data,no_data,matching-terms,agent evals|llm evaluation|llm as a judge|agent reliability|ai regression testing
evaluation,arize phoenix llm evaluation observability,150,150,no_data,no_data,no_data,matching-terms,agent evals|llm evaluation|llm as a judge|agent reliability|ai regression testing
evaluation,g-eval llm evaluation,150,200,no_data,no_data,no_data,matching-terms,agent evals|llm evaluation|llm as a judge|agent reliability|ai regression testing
evaluation,arize phoenix llm evaluation,150,150,no_data,no_data,no_data,matching-terms,agent evals|llm evaluation|llm as a judge|agent reliability|ai regression testing
evaluation,deepeval open-source llm evaluation framework,150,150,no_data,no_data,no_data,matching-terms,agent evals|llm evaluation|llm as a judge|agent reliability|ai regression testing
evaluation,mt-bench llm evaluation,150,200,no_data,no_data,no_data,matching-terms,agent evals|llm evaluation|llm as a judge|agent reliability|ai regression testing
evaluation,trulens documentation llm evaluation,150,150,no_data,no_data,no_data,matching-terms,agent evals|llm evaluation|llm as a judge|agent reliability|ai regression testing
evaluation,ragas llm evaluation,150,300,no_data,no_data,no_data,matching-terms,agent evals|llm evaluation|llm as a judge|agent reliability|ai regression testing
