keyword,cluster,also_in,volume,global_volume,difficulty,traffic_potential,parent_topic,intents,serp_top3_domains,nx_ranks,proposed_tags,source,vol_score,kd_score,serp_openness,strategic_fit,reachability,evidence_count,total_score,notes,tier
earthly,ci-competitors,,8500,13000,9,8100,earthley,informational|commercial|transactional|branded,no_data,no_data,ci-competitors|branded,keywords-explorer-overview,4,2,1,3,0,0,10,"8500 vol is name pollution (Earthly Education/apparel), not the build tool.",monitor
cursor vs claude code,ai-tooling,,3600,no_data,14,no_data,no_data,no_data,no_data,no_data,ai-tooling|branded,site-explorer-organic-keywords,4,2,1,3,0,0,10,KD 14 at 3600 vol. Best-ranked page is a Cursor forum thread at pos 16,monitor
buildkite,ci-competitors,,3200,8000,9,2400,buildkite,informational|commercial|branded,no_data,no_data,ci-competitors|branded,keywords-explorer-overview,4,2,1,3,0,0,10,Biggest clean vendor term. Navigational - low conversion for Nx.,monitor
mcp inspector,ai-tooling,,2700,no_data,5,no_data,no_data,no_data,no_data,no_data,ai-tooling|unbranded,site-explorer-organic-keywords,4,3,1,2,0,0,10,KD 5. Tool-shaped term with almost no defence,monitor
claude code vs cursor,ai-tooling,,1600,no_data,9,no_data,no_data,no_data,no_data,no_data,ai-tooling|branded,site-explorer-organic-keywords,4,2,1,3,0,0,10,KD 9. Mirror of the above and equally undefended,monitor
turbo repo,cli-competitors,,500,no_data,3,no_data,no_data,no_data,no_data,no_data,cli-competitors|branded,site-explorer-organic-keywords,3,3,1,3,0,0,10,500 vol spaced variant of turborepo; turborepo.dev pos 1,monitor
develocity,ci-competitors,ci-observability,200,600,3,50,gradle pricing,informational|commercial|branded,no_data,no_data,ci-competitors|branded,keywords-explorer-overview,3,3,1,3,0,0,10,KD 3. Closest Nx Cloud analog in JVM. Replaces zero-data develocity build scan alternative.,monitor
garnix,ci-competitors,,200,800,4,100,garnix,informational|commercial|branded,no_data,no_data,ci-competitors|branded,keywords-explorer-overview,3,3,1,3,0,0,10,Nix CI. 200 vol but wrong audience for Nx (name collision risk).,monitor
bugbot,ai-tooling,,700,no_data,14,no_data,no_data,no_data,no_data,no_data,ai-tooling|branded,site-explorer-organic-keywords,3,2,1,3,0,0,9,Cursor's AI code review product. Competitive signal for Nx Cloud,monitor
cursor vs copilot,ai-tooling,,600,no_data,7,no_data,no_data,no_data,no_data,no_data,ai-tooling|branded,site-explorer-organic-keywords,3,2,1,3,0,0,9,KD 7. Comparison SERP is wide open,monitor
circleci vs jenkins,ci-competitors,,150,450,1,40,jenkins vs circleci,informational|commercial|branded,no_data,no_data,ci-competitors|branded,keywords-explorer-overview,2,3,1,3,0,0,9,KD 1. Buildkite pos1 off its jenkins-alternatives page.,monitor
jenkins pricing,ci-competitors,,100,350,2,22000,jenkins,informational|commercial|branded,no_data,no_data,ci-cost|branded,keywords-explorer-overview,2,3,1,3,0,0,9,"KD 2, TP 22000. Buildkite pos1. Cost-of-Jenkins angle.",monitor
buildkite pricing,ci-competitors,,100,250,0,60,buildkite pricing,informational|commercial|branded,no_data,no_data,ci-competitors|branded,keywords-explorer-overview,2,3,1,3,0,0,9,KD 0. Per-seat pricing contrast vs Nx Cloud compute model.,monitor
buildpulse,ci-performance,,60,no_data,0,no_data,no_data,no_data,no_data,no_data,ci-competitors|branded,site-explorer-organic-keywords,2,3,1,3,0,0,9,flaky-detection competitor; trunk runs a compare page,monitor
blacksmith ci,ci-competitors,,250,700,no_data,no_data,no_data,no_data,no_data,no,ci-competitors|branded,keywords-explorer-overview,3,1,1,3,0,0,8,"250 vol, no difficulty record. Best repoint target for the existing nx-vs-blacksmith page.",monitor
buck2,cli-competitors,ci-competitors,200,300,24,200,buck2,informational|branded,no_data,no,cli-competitors|branded,keywords-explorer-matching-terms,3,1,1,3,0,0,8,"200 US vol; Meta Bazel successor, no Nx comparison exists",monitor
buildbuddy,ci-competitors,,100,300,12,60,buildbuddy,informational|commercial|branded,no_data,no_data,ci-competitors|branded,keywords-explorer-overview,2,2,1,3,0,0,8,Only 100 US vol. Whole domain ranks for 16 keywords total.,monitor
