category,cluster,keyword,volume,global_volume,difficulty,tier,source,why_track
memory,memory-file,claude memory.md,150,600,no_data,measured,ahrefs:keywords-explorer-overview+matching-terms+search-suggestions (2026-08-07),Biggest clean memory-file term. Exactly the artifact Polygraph distills into.
memory,memory-file,openclaw memory.md,100,350,no_data,measured,ahrefs:keywords-explorer-overview+matching-terms+search-suggestions (2026-08-07),openclaw is a harness we were not tracking; its memory file already out-searches ours.
memory,memory-file,claude code memory.md,80,300,no_data,measured,ahrefs:keywords-explorer-overview+matching-terms+search-suggestions (2026-08-07),Tool-anchored form of the core artifact.
memory,memory-file,claude memory skill,70,300,no_data,measured,ahrefs:keywords-explorer-overview+matching-terms+search-suggestions (2026-08-07),Community is shipping memory as a *skill*. Live vocabulary.
memory,memory-file,memory.md,40,200,no_data,measured,ahrefs:keywords-explorer-overview+matching-terms+search-suggestions (2026-08-07),Head term for the file convention.
memory,memory-file,memory.md claude,40,150,no_data,measured,ahrefs:keywords-explorer-overview+matching-terms+search-suggestions (2026-08-07),"Word-order variant, separate SERP."
memory,memory-file,memory md,20,90,no_data,measured,ahrefs:keywords-explorer-overview+matching-terms+search-suggestions (2026-08-07),Explicitly requested. Unpunctuated form people actually type.
memory,memory-file,claude.md vs memory.md,20,50,no_data,measured,ahrefs:keywords-explorer-overview+matching-terms+search-suggestions (2026-08-07),Comparison intent: which file holds what. Direct product wedge.
memory,memory-file,claude code memory skill,20,100,no_data,measured,ahrefs:keywords-explorer-overview+matching-terms+search-suggestions (2026-08-07),Tool-anchored skill form.
memory,memory-file,claude memory file,30,90,no_data,measured,ahrefs:keywords-explorer-overview+matching-terms+search-suggestions (2026-08-07),Generic-file phrasing of the same intent.
memory,memory-file,openclaw memory skill,30,90,no_data,measured,ahrefs:keywords-explorer-overview+matching-terms+search-suggestions (2026-08-07),Cross-harness proof the skill pattern is spreading.
memory,memory-file,what is memory.md,10,30,no_data,measured,ahrefs:keywords-explorer-overview+matching-terms+search-suggestions (2026-08-07),Definitional. Cheap to own while the convention is forming.
memory,memory-file,codex memory.md,10,20,no_data,measured,ahrefs:keywords-explorer-overview+matching-terms+search-suggestions (2026-08-07),Cross-harness variant; supports the swappable-harness claim.
memory,compaction,context compaction,100,250,no_data,measured,ahrefs:matching-terms,Head term of the loudest pain found. 100 vol but near-zero competition.
memory,compaction,claude code context compaction,20,30,no_data,measured,ahrefs:matching-terms,Tool-anchored form.
memory,compaction,claude context compaction,10,20,no_data,measured,ahrefs:matching-terms,Variant.
memory,compaction,what is context compaction,10,10,no_data,measured,ahrefs:matching-terms,Definitional; term is spreading faster than its definition.
memory,compaction,claude code automatic context compaction,0,0,no_data,no-signal,ahrefs:matching-terms,"Zero volume, precise intent. Cheap option."
memory,compaction,claude code /compact command context compaction,0,0,no_data,no-signal,ahrefs:matching-terms,The literal command people run before they lose work.
memory,compaction,codex context compaction,0,0,no_data,no-signal,ahrefs:matching-terms,Cross-harness.
memory,compaction,llm context compaction,10,10,no_data,measured,ahrefs:matching-terms,Harness-agnostic.
memory,compaction,claude code context window,350,1400,6,measured,ahrefs:matching-terms,KD 6. The symptom people search before they know the word compaction.
memory,compaction,claude code context window size,350,600,no_data,measured,ahrefs:matching-terms,"Same intent, sizing phrasing."
memory,persistence,claude code memory,1000,3900,9,measured,ahrefs:matching-terms; competitor:mem0.ai; competitor:https://mem0.ai/blog/how-memory-works-in-claude-code,"KD 9 with 3,900 global. Best memory target in the set. mem0 ranks #11 - contested."
