category,keyword,volume,global_volume,difficulty,parent_topic,intents,source_report,seed_used
cost,claude code cost,2700,6100,0,claude pricing,informational;commercial;branded,matching-terms,"claude code token usage,claude code cost,ccusage,claude code usage limit"
cost,ccusage,2100,12000,8,ccusage,informational;branded,matching-terms,"claude code token usage,claude code cost,ccusage,claude code usage limit"
cost,claude code pricing cost per month api usage,1700,1700,no_data,no_data,no_data,matching-terms,"claude code token usage,claude code cost,ccusage,claude code usage limit"
cost,how much does claude code cost,700,1600,60,how much is claude code,informational;commercial;branded,matching-terms,"claude code token usage,claude code cost,ccusage,claude code usage limit"
cost,claude code token cost,400,1100,no_data,no_data,no_data,matching-terms,"claude code token usage,claude code cost,ccusage,claude code usage limit"
cost,claude code subscription cost,300,600,no_data,no_data,no_data,matching-terms,"claude code token usage,claude code cost,ccusage,claude code usage limit"
cost,claude code cost per token,250,400,no_data,no_data,no_data,matching-terms,"claude code token usage,claude code cost,ccusage,claude code usage limit"
cost,cost of claude code,250,450,no_data,no_data,no_data,matching-terms,"claude code token usage,claude code cost,ccusage,claude code usage limit"
cost,does claude code cost money,200,300,no_data,no_data,no_data,matching-terms,"claude code token usage,claude code cost,ccusage,claude code usage limit"
cost,claude code cost per month,150,350,no_data,no_data,no_data,matching-terms,"claude code token usage,claude code cost,ccusage,claude code usage limit"
cost,npx ccusage,150,600,no_data,no_data,no_data,matching-terms,"claude code token usage,claude code cost,ccusage,claude code usage limit"
cost,claude code token usage,100,700,no_data,no_data,no_data,matching-terms,"claude code token usage,claude code cost,ccusage,claude code usage limit"
cost,claude code usage limit,100,400,no_data,no_data,no_data,matching-terms,"claude code token usage,claude code cost,ccusage,claude code usage limit"
cost,claude code api cost,100,250,no_data,no_data,no_data,matching-terms,"claude code token usage,claude code cost,ccusage,claude code usage limit"
cost,claude code pricing cost,100,200,no_data,no_data,no_data,matching-terms,"claude code token usage,claude code cost,ccusage,claude code usage limit"
cost,ccusage github,100,200,no_data,no_data,no_data,matching-terms,"claude code token usage,claude code cost,ccusage,claude code usage limit"
cost,claude code pricing anthropic claude code cost,100,250,no_data,no_data,no_data,matching-terms,"claude code token usage,claude code cost,ccusage,claude code usage limit"
cost,anthropic claude code cost,100,150,no_data,no_data,no_data,matching-terms,"claude code token usage,claude code cost,ccusage,claude code usage limit"
cost,how much does claude code cost?,90,150,no_data,no_data,no_data,matching-terms,"claude code token usage,claude code cost,ccusage,claude code usage limit"
cost,how much claude code cost,90,350,no_data,no_data,no_data,matching-terms,"claude code token usage,claude code cost,ccusage,claude code usage limit"
cost,how to check token usage in claude code,90,250,no_data,no_data,no_data,matching-terms,"claude code token usage,claude code cost,ccusage,claude code usage limit"
cost,claude code license cost,90,250,no_data,no_data,no_data,matching-terms,"claude code token usage,claude code cost,ccusage,claude code usage limit"
cost,ccusage claude code,80,250,no_data,no_data,no_data,matching-terms,"claude code token usage,claude code cost,ccusage,claude code usage limit"
cost,claude code show token usage,80,300,no_data,no_data,no_data,matching-terms,"claude code token usage,claude code cost,ccusage,claude code usage limit"
cost,anthropic claude code subscription cost,70,100,no_data,no_data,no_data,matching-terms,"claude code token usage,claude code cost,ccusage,claude code usage limit"
cost,claude code /cost command,70,100,no_data,no_data,no_data,matching-terms,"claude code token usage,claude code cost,ccusage,claude code usage limit"
cost,how much does claude code cost per month,70,150,no_data,no_data,no_data,matching-terms,"claude code token usage,claude code cost,ccusage,claude code usage limit"
cost,ccusage claude,70,250,no_data,no_data,no_data,matching-terms,"claude code token usage,claude code cost,ccusage,claude code usage limit"
cost,ccusage npm,70,150,no_data,no_data,no_data,matching-terms,"claude code token usage,claude code cost,ccusage,claude code usage limit"
cost,claude code check token usage,60,200,no_data,no_data,no_data,matching-terms,"claude code token usage,claude code cost,ccusage,claude code usage limit"
cost,how to reduce token usage in claude code,60,300,no_data,no_data,no_data,matching-terms,"claude code token usage,claude code cost,ccusage,claude code usage limit"
