keyword,old_relevance,new_relevance,reason
claude pricing,3,0,"Anthropic subscription shopping, wrong intent"
claude code pricing,3,1,"harness subscription shopping, not spend tracking"
claude ai pricing,3,0,"Anthropic subscription shopping, wrong intent"
claude api pricing,3,0,"Anthropic subscription shopping, wrong intent"
claude teams,3,0,"Anthropic subscription shopping, wrong intent"
claude code vs cursor,3,2,"tool comparison, content marketing only"
cursor vs claude code,3,2,"tool comparison, content marketing only"
claude cost,3,0,"Anthropic subscription shopping, wrong intent"
claude enterprise pricing,3,0,"Anthropic subscription shopping, wrong intent"
how much does claude cost,3,0,"Anthropic subscription shopping, wrong intent"
claude code cost,3,1,"harness subscription shopping, not spend tracking"
claude usage limits,3,1,"subscription limit mechanics, wrong category"
claude code security,3,2,"harness trust question, adjacent to governance"
anthropic claude pricing change,3,0,"Anthropic subscription shopping, wrong intent"
claude pro pricing,3,0,"Anthropic subscription shopping, wrong intent"
claude pricing plans,3,0,"Anthropic subscription shopping, wrong intent"
claude token cost,3,1,"per-token API price lookup, weak fit"
claude code review,3,1,"AI code review of PRs, different category"
claude security,3,1,"model safety intent, not agent governance"
claude team plan pricing,3,0,"Anthropic subscription shopping, wrong intent"
claude ai cost,3,0,"Anthropic subscription shopping, wrong intent"
opencode vs claude code,3,2,"tool comparison, content marketing only"
claude code pricing cost per month api usage,3,1,"harness subscription shopping, not spend tracking"
claude billing,3,0,"Anthropic subscription shopping, wrong intent"
claude code pricing 2026,3,1,"harness subscription shopping, not spend tracking"
claude team pricing,3,0,"Anthropic subscription shopping, wrong intent"
claude.ai pricing,3,0,"Anthropic subscription shopping, wrong intent"
claude vs cursor,3,2,"tool comparison, content marketing only"
anthropic claude code security,3,2,"harness trust question, adjacent to governance"
openai codex agents.md official docs,3,2,navigational to vendor docs
claude ai context window size 2026,3,0,"model spec term, not a product need"
claude code vs opencode features,3,2,"tool comparison, content marketing only"
cursor vs claude,3,2,"tool comparison, content marketing only"
codex vs cursor,3,2,"tool comparison, content marketing only"
how much does claude code cost,3,1,"harness subscription shopping, not spend tracking"
claude code security cve 2026,3,2,"harness trust question, adjacent to governance"
claude context window,3,0,"model spec term, not a product need"
claude cost per month,3,0,"Anthropic subscription shopping, wrong intent"
claude costs,3,0,"Anthropic subscription shopping, wrong intent"
claude weekly limit,3,1,"subscription limit mechanics, not spend tracking"
claude context window size,3,0,"model spec term, not a product need"
claude 4 context window,3,0,"model spec term, not a product need"
claude sonnet 4.5 context window,3,0,"model spec term, not a product need"
context window size copilot vs chatgpt,3,0,"model spec term, not a product need"
cursor vs codex,3,2,"tool comparison, content marketing only"
cline vs cursor,3,2,"tool comparison, content marketing only"
openai codex agents.md official documentation,3,2,navigational to vendor docs
claude opus 4.5 context window,3,0,"model spec term, not a product need"
claude code usage limits,3,1,"subscription limit mechanics, not observability"
claude code subagents official docs,3,2,navigational to vendor docs
claude code vs opencode,3,2,"tool comparison, content marketing only"
claude code token cost,3,1,"per-token API price lookup, weak fit"
claude cost per token,3,1,"per-token API price lookup, weak fit"
claude code memory claude.md official docs,3,2,navigational to vendor docs
claude code agent team,3,2,"orchestration term, adjacent to sharing"
claude code context window size,3,2,model spec but harness-scoped
claude code context window,3,2,model spec but harness-scoped
claude usage tracker,3,2,"spend tracking, wrong category"
opencode vs codex,3,2,"tool comparison, content marketing only"
cline vs claude code,3,2,"tool comparison, content marketing only"
claude code subscription cost,3,1,"harness subscription shopping, not spend tracking"
when does claude weekly limit reset,3,1,"subscription limit mechanics, not spend tracking"
claude code security review,3,1,"AI code scanning, different product category"
openai codex agents.md instructions official docs,3,2,navigational to vendor docs
anthropic claude code usage limits,3,1,"subscription limit mechanics, not observability"
cursor ai vs claude code,3,2,"tool comparison, content marketing only"
cursor rules .cursor/rules documentation,3,2,harness-specific rules file
opencode zen pricing,3,1,"harness feature subpage, weak fit"
copilot instructions file,3,2,harness-specific rules file
